,I1,I2,V1,V2,a1,a2,b1,b2,gammaTuple,harmonic,power,Pin,Pout,Gain,Pdc1,Pdc2,PAE,drainEff,Load Gamma,r,x
1407,5.7732e-11,0.025046,-0.3,3.0,(0.079527+9.9456e-09j),(-0.10434+0.17063j),(-0.062108-0.042177j),(-0.0063148+0.24992j),"(53,)",1,2,-4.632896213394257,10.511226149159667,15.144122362553924,-1.73196e-11,0.075138,14.513435187947444,14.97141965386356,(0.6928450692200596+0.39998728375835935j),0.6928450692200596,0.39998728375835935
1408,,,,,(-9.8501e-10+4.5889e-10j),(-2.6734e-09+3.0944e-09j),(-0.0072277-0.002625j),(-0.028842+0.0020901j),"(53,)",2,2,-15.292201167702082,-3.787045207436028,11.505155960266054,,,,,(9.994123627298827e-08-1.000455177195003e-07j),9.994123627298827e-08,-1.000455177195003e-07
1409,,,,,(2.6396e-10+6.1505e-10j),(1.2722e-09+1.9248e-09j),(-0.0017516+0.0043984j),(-0.0032714+0.015984j),"(53,)",3,2,-19.505101413406884,-8.758377471934649,10.746723941472233,,,,,(9.994401270362434e-08-1.0004735004746223e-07j),9.994401270362434e-08,-1.0004735004746223e-07
1410,2.5253e-09,0.022253,-0.3,3.0,(0.089231+1.0188e-08j),(-0.11317+0.17549j),(-0.064701-0.052038j),(-0.012825+0.2607j),"(53,)",1,3,-2.72459346429695,10.88575153334805,13.610344997644999,-7.5759e-10,0.066759,17.568255298161947,18.36814633607452,(0.6928278501345698+0.40001719532805585j),0.6928278501345698,0.40001719532805585
1411,,,,,(-1.3434e-09+4.883e-10j),(-3.8581e-09+3.7378e-09j),(-0.0091518-0.0042756j),(-0.037982-0.00062081j),"(53,)",2,3,-12.922757252420753,-1.417583287534935,11.50517396488582,,,,,(9.994187020580481e-08-1.0004330768370453e-07j),9.994187020580481e-08,-1.0004330768370453e-07
1412,,,,,(2.1286e-10+8.1984e-10j),(1.2203e-09+2.6539e-09j),(-0.0030405+0.0051654j),(-0.0071782+0.019369j),"(53,)",3,3,-17.456211614145502,-6.7092290886633466,10.746982525482153,,,,,(9.994225248043302e-08-1.0004158587201426e-07j),9.994225248043302e-08,-1.0004158587201426e-07
1413,2.0461e-08,0.01928,-0.3,3.0,(0.10012+1.0351e-08j),(-0.12142+0.17936j),(-0.066671-0.063288j),(-0.019343+0.27005j),"(53,)",1,4,-1.0412979370988595,11.203818803967703,12.245116741066562,-6.1383e-09,0.057839999999999996,21.451164362033122,22.811486989107905,(0.6928239486757498+0.3999952096306794j),0.6928239486757498,0.3999952096306794
1414,,,,,(-1.7128e-09+4.7488e-10j),(-5.1467e-09+4.2621e-09j),(-0.010936-0.0061888j),(-0.047045-0.0044477j),"(53,)",2,4,-11.026551779271202,0.47861461974011654,11.505166399011317,,,,,(9.994113485385627e-08-1.0004481210520773e-07j),9.994113485385627e-08,-1.0004481210520773e-07
1415,,,,,(1.1777e-10+1.0189e-09j),(1.0205e-09+3.3844e-09j),(-0.0045052+0.0056847j),(-0.011832+0.02202j),"(53,)",3,4,-15.799398919395475,-5.052357172082889,10.74704174731259,,,,,(9.9939619440781e-08-1.0004475827535515e-07j),9.9939619440781e-08,-1.0004475827535515e-07
1416,5.6966e-08,0.016407,-0.3,3.0,(0.11233+1.043e-08j),(-0.12888+0.18224j),(-0.067919-0.076012j),(-0.025613+0.27783j),"(53,)",1,5,0.46731990222024933,11.465010998407184,10.997691096186934,-1.70898e-08,0.049221,26.205124310761562,28.467587685134404,(0.6928174219539063+0.4000103205971083j),0.6928174219539063,0.4000103205971083
1417,,,,,(-2.0574e-09+4.2052e-10j),(-6.4155e-09+4.6184e-09j),(-0.012412-0.0081794j),(-0.055168-0.009014j),"(53,)",2,5,-9.567156890418971,1.937867292926994,11.505024183345965,,,,,(9.99436770899703e-08-1.0004517664749477e-07j),9.99436770899703e-08,-1.0004517664749477e-07
1418,,,,,(-8.2601e-12+1.2062e-09j),(7.0636e-10+4.0951e-09j),(-0.0060703+0.0059881j),(-0.016957+0.024j),"(53,)",3,5,-14.394604382430725,-3.647476122996016,10.747128259434708,,,,,(9.994287302426505e-08-1.0004547074468592e-07j),9.994287302426505e-08,-1.0004547074468592e-07
1419,1.1338e-07,0.014136,-0.3,3.0,(0.12604+1.0396e-08j),(-0.13528+0.18388j),(-0.06827-0.090402j),(-0.031517+0.28361j),"(53,)",1,6,1.8366367637777556,11.660661337342537,9.824024573564781,-3.4013999999999996e-08,0.042408,30.96426793647411,34.56355002475948,(0.6928066371814384+0.400002867374044j),0.6928066371814384,0.400002867374044
1420,,,,,(-2.3261e-09+3.3573e-10j),(-7.4657e-09+4.7383e-09j),(-0.013325-0.0099445j),(-0.061017-0.013669j),"(53,)",2,6,-8.594154354065877,2.911374148587509,11.505528502653386,,,,,(9.99425075094647e-08-1.000444816222835e-07j),9.99425075094647e-08,-1.000444816222835e-07
1421,,,,,(-1.5938e-10+1.3899e-09j),(3.1104e-10+4.8157e-09j),(-0.0077474+0.0061665j),(-0.022538+0.025624j),"(53,)",3,6,-13.09591570827223,-2.34871550140661,10.74720020686562,,,,,(9.994177607465856e-08-1.000440114412525e-07j),9.994177607465856e-08,-1.000440114412525e-07
1422,1.8768e-07,0.013046,-0.3,3.0,(0.14142+1.0228e-08j),(-0.14065+0.18402j),(-0.067644-0.10674j),(-0.037248+0.28712j),"(53,)",1,7,3.0432656617032543,11.78682404461968,8.743558382916426,-5.6304e-08,0.039138,33.40621255557245,38.55527237467422,(0.6928069225407376+0.39998721004876925j),0.6928069225407376,0.39998721004876925
1423,,,,,(-2.4688e-09+2.3423e-10j),(-8.1078e-09+4.6045e-09j),(-0.01352-0.011162j),(-0.063556-0.01755j),"(53,)",2,7,-8.133534795030572,3.3719637227817496,11.50549851781232,,,,,(9.994332160961968e-08-1.0004571235208045e-07j),9.994332160961968e-08,-1.0004571235208045e-07
1424,,,,,(-3.2412e-10+1.5921e-09j),(-1.3208e-10+5.5951e-09j),(-0.0095794+0.0063332j),(-0.028652+0.027302j),"(53,)",3,7,-11.808697406878206,-1.061449805809013,10.747247601069192,,,,,(9.99413571405254e-08-1.000454093029937e-07j),9.99413571405254e-08,-1.000454093029937e-07
1425,2.7389e-07,0.012622,-0.3,3.0,(0.15868+1.0018e-08j),(-0.14513+0.18387j),(-0.066327-0.12482j),(-0.042194+0.28975j),"(53,)",1,8,4.149766110969712,11.884292830643373,7.734526719673661,-8.216700000000001e-08,0.037866,33.88853227829705,40.754901938414434,(0.6928287544828661+0.39998889916600505j),0.6928287544828661,0.39998889916600505
1426,,,,,(-2.5727e-09+1.5549e-10j),(-8.5868e-09+4.4783e-09j),(-0.013619-0.012088j),(-0.065319-0.020577j),"(53,)",2,8,-7.804195273071484,3.7014142934120637,11.505609566483546,,,,,(9.994301497389321e-08-1.0004481726783632e-07j),9.994301497389321e-08,-1.0004481726783632e-07
1427,,,,,(-5.0903e-10+1.7612e-09j),(-6.5163e-10+6.279e-09j),(-0.01134+0.0062592j),(-0.03467+0.028121j),"(53,)",3,8,-10.763074473566824,-0.015663811662453994,10.747410661904372,,,,,(9.994169860158556e-08-1.000444042003119e-07j),9.994169860158556e-08,-1.000444042003119e-07
